Estudiante_ID,Edad,Genero,Comuna,Nota_Matemáticas,Nota_Lenguaje,Nota_Ciencias
1,29,masculino,Concepción,80,62,74
2,27,femenino,Penco,10,20,57
3,22,prefiero no decirlo,Tomé,52,74,24
4,20,prefiero no decirlo,Lota,30,11,15
5,25,masculino,Coronel,4,57,75
6,24,prefiero no decirlo,Tomé,75,5,43
7,25,femenino,Lota,94,5,49
8,24,femenino,Penco,25,39,9
9,19,masculino,Tomé,85,7,76
10,20,masculino,Coronel,26,2,1
11,21,masculino,San Pedro,53,54,79
12,28,femenino,Hualpén,26,28,38
13,20,femenino,Lota,71,81,90
14,29,prefiero no decirlo,Hualpén,29,24,15
15,20,masculino,San Pedro,64,24,51
16,20,femenino,Concepción,54,55,55
17,29,femenino,Lota,92,98,23
18,22,masculino,Lota,2,69,8
19,26,masculino,Tomé,85,70,42
20,18,prefiero no decirlo,Arauco,53,8,70
21,18,masculino,San Pedro,17,64,21
22,28,prefiero no decirlo,San Pedro,46,44,54
23,19,femenino,Penco,65,83,3
24,26,prefiero no decirlo,Concepción,80,3,51
25,21,femenino,Penco,10,71,27
26,27,femenino,Concepción,31,83,54
27,19,masculino,San Pedro,25,19,12
28,22,prefiero no decirlo,Penco,18,68,98
29,22,prefiero no decirlo,Arauco,95,91,34
30,25,femenino,San Pedro,5,60,42
31,21,masculino,Tomé,78,95,92
32,27,femenino,Tomé,73,8,83
33,24,prefiero no decirlo,Tomé,47,20,69
34,29,femenino,Hualpén,69,88,90
35,23,femenino,Lota,60,30,94
36,26,femenino,Concepción,10,90,93
37,18,prefiero no decirlo,Lota,76,28,40
38,19,masculino,Penco,45,83,61
39,28,femenino,Coronel,38,89,23
40,29,femenino,Arauco,11,56,25
41,19,femenino,Arauco,56,86,21
42,24,femenino,Concepción,58,18,5
43,26,femenino,Tomé,78,39,58
44,23,masculino,Hualpén,7,35,53
45,22,masculino,Arauco,31,7,32
46,25,femenino,Penco,58,39,98
47,22,masculino,San Pedro,69,2,6
48,20,masculino,Penco,51,43,92
49,27,masculino,Tomé,80,84,12
50,27,prefiero no decirlo,Arauco,14,50,11
51,19,masculino,Tomé,83,43,17
52,19,femenino,Concepción,28,82,88
53,27,masculino,Tomé,84,84,87
54,21,prefiero no decirlo,Penco,18,17,28
55,28,masculino,Lota,7,12,55
56,24,masculino,San Pedro,23,88,30
57,22,femenino,Penco,11,73,96
58,25,femenino,Arauco,86,13,56
