Estudiante_ID,Edad,Genero,Comuna,Nota_Matemáticas,Nota_Lenguaje,Nota_Ciencias,Promedio_Notas,Rango_Edad
1,29,masculino,Concepción,80,62,74,72,mayor de 25
2,27,femenino,Penco,10,20,57,29,mayor de 25
3,22,prefiero no decirlo,Tomé,52,74,24,50,menor a 25
4,20,prefiero no decirlo,Lota,30,11,15,19,menor a 25
5,25,masculino,Coronel,4,57,75,45,menor a 25
6,24,prefiero no decirlo,Tomé,75,5,43,41,menor a 25
7,25,femenino,Lota,94,5,49,49,menor a 25
8,24,femenino,Penco,25,39,9,24,menor a 25
9,19,masculino,Tomé,85,7,76,56,menor a 25
10,20,masculino,Coronel,26,2,1,10,menor a 25
11,21,masculino,San Pedro,53,54,79,62,menor a 25
12,28,femenino,Hualpén,26,28,38,31,mayor de 25
13,20,femenino,Lota,71,81,90,81,menor a 25
14,29,,,29,24,15,23,mayor de 25
15,20,masculino,San Pedro,64,24,51,46,menor a 25
16,20,femenino,Concepción,54,55,55,55,menor a 25
17,29,femenino,Lota,92,98,23,71,mayor de 25
18,22,masculino,Lota,2,69,8,26,menor a 25
19,26,masculino,Tomé,85,70,42,66,mayor de 25
20,18,prefiero no decirlo,Arauco,53,8,70,44,menor a 25
21,18,masculino,San Pedro,17,64,21,34,menor a 25
22,28,prefiero no decirlo,San Pedro,46,44,54,48,mayor de 25
23,19,femenino,Penco,65,83,3,50,menor a 25
24,26,prefiero no decirlo,Concepción,80,3,51,45,mayor de 25
25,21,femenino,Penco,10,71,27,36,menor a 25
26,27,femenino,Concepción,31,83,54,56,mayor de 25
27,19,masculino,San Pedro,25,19,12,19,menor a 25
28,22,prefiero no decirlo,Penco,18,68,98,61,menor a 25
29,22,prefiero no decirlo,Arauco,95,91,34,73,menor a 25
30,25,femenino,San Pedro,5,60,42,36,menor a 25
31,21,masculino,Tomé,78,95,92,88,menor a 25
32,27,femenino,Tomé,73,8,83,55,mayor de 25
33,24,prefiero no decirlo,Tomé,47,20,69,45,menor a 25
34,29,femenino,Hualpén,69,88,90,82,mayor de 25
35,23,femenino,Lota,60,30,94,61,menor a 25
36,26,femenino,Concepción,10,90,93,64,mayor de 25
37,18,prefiero no decirlo,Lota,76,28,40,48,menor a 25
38,19,masculino,Penco,45,83,61,63,menor a 25
39,28,femenino,Coronel,38,89,23,50,mayor de 25
40,29,femenino,Arauco,11,56,25,31,mayor de 25
41,19,femenino,Arauco,56,86,21,54,menor a 25
42,24,femenino,Concepción,58,18,5,27,menor a 25
43,26,femenino,Tomé,78,39,58,58,mayor de 25
44,23,masculino,Hualpén,7,35,53,32,menor a 25
45,22,masculino,Arauco,31,7,32,23,menor a 25
46,25,femenino,Penco,58,39,98,65,menor a 25
47,22,masculino,San Pedro,69,2,6,26,menor a 25
48,20,masculino,Penco,51,43,92,62,menor a 25
49,27,masculino,Tomé,80,84,12,59,mayor de 25
50,27,prefiero no decirlo,Arauco,14,50,11,25,mayor de 25
51,19,masculino,Tomé,83,43,17,48,menor a 25
52,19,femenino,Concepción,28,82,88,66,menor a 25
53,27,masculino,Tomé,84,84,87,85,mayor de 25
54,21,prefiero no decirlo,Penco,18,17,28,21,menor a 25
55,28,masculino,Lota,7,12,55,25,mayor de 25
56,24,masculino,San Pedro,23,88,30,47,menor a 25
57,22,femenino,Penco,11,73,96,60,menor a 25
58,25,femenino,Arauco,86,13,56,52,menor a 25
59,29,femenino,Concepción,85,11,82,59,mayor de 25
60,26,prefiero no decirlo,Coronel,16,94,6,39,mayor de 25
61,22,prefiero no decirlo,Coronel,20,15,18,18,menor a 25
62,28,femenino,Lota,32,6,50,29,mayor de 25
63,25,prefiero no decirlo,Tomé,27,43,71,47,menor a 25
64,19,prefiero no decirlo,Arauco,22,30,63,38,menor a 25
65,24,prefiero no decirlo,Tomé,33,84,81,66,menor a 25
66,23,prefiero no decirlo,Penco,36,62,55,51,menor a 25
67,29,prefiero no decirlo,Concepción,9,16,88,38,mayor de 25
68,21,femenino,San Pedro,15,9,7,10,menor a 25
69,28,prefiero no decirlo,Tomé,85,14,84,61,mayor de 25
70,18,prefiero no decirlo,Penco,55,47,92,65,menor a 25
71,18,prefiero no decirlo,Lota,50,5,23,26,menor a 25
72,25,prefiero no decirlo,Penco,58,26,3,29,menor a 25
73,22,masculino,Lota,79,7,70,52,menor a 25
74,22,femenino,Arauco,10,15,84,36,menor a 25
75,29,femenino,Hualpén,35,56,66,52,mayor de 25
76,28,masculino,Coronel,73,86,85,81,mayor de 25
77,25,femenino,Coronel,86,95,34,72,menor a 25
78,18,femenino,Concepción,37,95,16,49,menor a 25
79,19,prefiero no decirlo,San Pedro,57,44,82,61,menor a 25
80,28,femenino,Hualpén,91,2,94,62,mayor de 25
81,20,masculino,Tomé,12,65,96,58,menor a 25
82,25,femenino,Penco,62,80,53,65,menor a 25
83,24,prefiero no decirlo,San Pedro,24,20,33,26,menor a 25
84,18,prefiero no decirlo,Coronel,39,70,94,68,menor a 25
85,18,prefiero no decirlo,Penco,91,8,26,42,menor a 25
86,25,prefiero no decirlo,Concepción,58,63,24,48,menor a 25
87,23,femenino,Tomé,56,63,95,71,menor a 25
88,25,masculino,Penco,40,78,81,66,menor a 25
89,19,masculino,San Pedro,55,51,39,48,menor a 25
90,22,masculino,San Pedro,33,44,62,46,menor a 25
91,20,masculino,Lota,30,14,44,29,menor a 25
92,21,femenino,Hualpén,87,47,48,61,menor a 25
93,26,masculino,Concepción,85,67,58,70,mayor de 25
94,21,masculino,Coronel,52,82,94,76,menor a 25
95,25,femenino,San Pedro,84,6,46,45,menor a 25
96,18,masculino,San Pedro,9,40,68,39,menor a 25
97,27,prefiero no decirlo,Penco,20,30,36,29,mayor de 25
98,19,prefiero no decirlo,Hualpén,96,34,73,68,menor a 25
99,21,prefiero no decirlo,Hualpén,97,28,35,53,menor a 25
100,18,femenino,Tomé,48,65,31,48,menor a 25
101,23,femenino,Arauco,29,67,40,45,menor a 25
102,24,masculino,Tomé,94,33,1,43,menor a 25
103,19,masculino,Lota,76,99,37,71,menor a 25
104,28,femenino,San Pedro,9,61,71,47,mayor de 25
105,27,masculino,Lota,45,20,24,30,mayor de 25
106,23,prefiero no decirlo,Hualpén,54,23,28,35,menor a 25
107,29,femenino,Tomé,21,85,29,45,mayor de 25
108,20,masculino,Coronel,17,41,94,51,menor a 25
109,21,prefiero no decirlo,Penco,18,24,65,36,menor a 25
110,19,femenino,Arauco,93,24,36,51,menor a 25
111,19,prefiero no decirlo,Penco,97,70,99,89,menor a 25
112,21,femenino,Lota,43,97,67,69,menor a 25
113,21,prefiero no decirlo,Coronel,70,41,90,67,menor a 25
114,28,prefiero no decirlo,Arauco,61,19,64,48,mayor de 25
115,23,femenino,Lota,33,31,41,35,menor a 25
116,29,prefiero no decirlo,San Pedro,29,96,25,50,mayor de 25
117,21,prefiero no decirlo,San Pedro,10,7,30,16,menor a 25
118,19,masculino,Lota,17,69,9,32,menor a 25
119,25,masculino,San Pedro,9,10,93,37,menor a 25
120,18,masculino,Penco,22,71,15,36,menor a 25
121,22,masculino,Concepción,68,20,89,59,menor a 25
122,21,masculino,Arauco,20,6,91,39,menor a 25
123,19,prefiero no decirlo,Tomé,66,96,26,63,menor a 25
124,25,femenino,Concepción,81,52,41,58,menor a 25
125,20,prefiero no decirlo,Hualpén,70,45,40,52,menor a 25
126,27,masculino,Lota,15,96,29,47,mayor de 25
127,24,prefiero no decirlo,Concepción,17,13,9,13,menor a 25
128,24,femenino,Hualpén,32,24,56,37,menor a 25
129,25,prefiero no decirlo,Tomé,61,20,81,54,menor a 25
130,29,prefiero no decirlo,Penco,54,44,1,33,mayor de 25
131,22,masculino,Lota,59,6,55,40,menor a 25
132,19,femenino,Arauco,93,96,41,77,menor a 25
133,20,prefiero no decirlo,Tomé,65,78,22,55,menor a 25
134,28,prefiero no decirlo,Hualpén,55,80,52,62,mayor de 25
135,28,femenino,Arauco,63,60,8,44,mayor de 25
136,19,masculino,Hualpén,79,79,57,72,menor a 25
137,21,femenino,Arauco,87,90,62,80,menor a 25
138,24,femenino,San Pedro,98,12,32,47,menor a 25
139,22,femenino,Coronel,32,56,67,52,menor a 25
140,25,prefiero no decirlo,Hualpén,94,7,64,55,menor a 25
141,25,masculino,Hualpén,66,49,96,70,menor a 25
142,23,femenino,Arauco,14,6,20,13,menor a 25
143,26,masculino,Arauco,4,44,24,24,mayor de 25
144,27,femenino,Lota,21,38,51,37,mayor de 25
145,26,masculino,Coronel,30,68,17,38,mayor de 25
146,29,femenino,Lota,68,12,22,34,mayor de 25
147,28,masculino,San Pedro,24,66,39,43,mayor de 25
148,20,prefiero no decirlo,Tomé,15,18,41,25,menor a 25
149,25,femenino,Arauco,60,57,16,44,menor a 25
150,28,femenino,Hualpén,19,84,79,61,mayor de 25
151,18,masculino,Concepción,26,3,3,11,menor a 25
152,24,masculino,Penco,98,3,87,63,menor a 25
153,25,prefiero no decirlo,Coronel,56,2,66,41,menor a 25
154,25,masculino,Concepción,18,77,52,49,menor a 25
155,24,masculino,Coronel,30,88,19,46,menor a 25
156,18,masculino,Hualpén,41,86,24,50,menor a 25
157,23,masculino,Penco,88,20,63,57,menor a 25
158,29,prefiero no decirlo,Concepción,21,84,62,56,mayor de 25
159,24,masculino,Tomé,70,93,60,74,menor a 25
